Sent: {'order_id': 1001, 'customer_id': 185, 'product_id': 46, 'quantity': 9, 'price': 405.37, 'order_time': '2026-09-10 20:09:26'}
Sent: {'order_id': 1033, 'customer_id': 234, 'product_id': 27, 'quantity': 10, 'price': 225.74, 'order_time': '2026-09-10 20:10:16'}
Sent: {'order_id': 1034, 'customer_id': 106, 'product_id': 36, 'quantity': 2, 'price': 47.39, 'order_time': '2026-09-10 20:10:18'}
Sent: {'order_id': 1035, 'customer_id': 283, 'product_id': 41, 'quantity': 5, 'price': 115.99, 'order_time': '2026-09-10 20:10:19'}
Sent: {'order_id': 1036, 'customer_id': 127, 'product_id': 39, 'quantity': 1, 'price': 356.57, 'order_time': '2026-09-10 20:10:21'}
Sent: {'order_id': 1037, 'customer_id': 300, 'product_id': 39, 'quantity': 7, 'price': 410.32, 'order_time': '2026-09-10 20:10:22'}
Sent: {'order_id': 1038, 'customer_id': 256, 'product_id': 29, 'quantity': 6, 'price': 410.59, 'order_time': '2026-09-10 20:10:23'}
Sent: {'order_id': 1039, 'customer_id': 154, 'product_id': 36, 'quantity': 1, 'price': 326.18, 'order_time': '2026-09-10 20:10:24'}
Sent: {'order_id': 1040, 'customer_id': 302, 'product_id': 22, 'quantity': 8, 'price': 17.79, 'order_time': '2026-09-10 20:10:26'}
Sent: {'order_id': 1041, 'customer_id': 105, 'product_id': 34, 'quantity': 10, 'price': 129.13, 'order_time': '2026-09-10 20:10:28'}
Sent: {'order_id': 1042, 'customer_id': 365, 'product_id': 29, 'quantity': 1, 'price': 323.77, 'order_time': '2026-09-10 20:10:29'}
Sent: {'order_id': 1043, 'customer_id': 184, 'product_id': 1, 'quantity': 5, 'price': 286.99, 'order_time': '2026-09-10 20:10:30'}
Sent: {'order_id': 1044, 'customer_id': 247, 'product_id': 12, 'quantity': 1, 'price': 32.52, 'order_time': '2026-09-10 20:10:31'}
Sent: {'order_id': 1045, 'customer_id': 401, 'product_id': 6, 'quantity': 1, 'price': 151.09, 'order_time': '2026-09-10 20:10:32'}
Sent: {'order_id': 1046, 'customer_id': 227, 'product_id': 26, 'quantity': 9, 'price': 420.51, 'order_time': '2026-09-10 20:10:34'}
Sent: {'order_id': 1047, 'customer_id': 350, 'product_id': 24, 'quantity': 8, 'price': 272.3, 'order_time': '2026-09-10 20:10:36'}
Sent: {'order_id': 1048, 'customer_id': 337, 'product_id': 8, 'quantity': 10, 'price': 180.99, 'order_time': '2026-09-10 20:10:37'}
Sent: {'order_id': 1049, 'customer_id': 414, 'product_id': 26, 'quantity': 5, 'price': 433.38, 'order_time': '2026-09-10 20:10:39'}
Sent: {'order_id': 1050, 'customer_id': 219, 'product_id': 5, 'quantity': 3, 'price': 456.84, 'order_time': '2026-09-10 20:10:40'}
Sent: {'order_id': 1051, 'customer_id': 408, 'product_id': 5, 'quantity': 1, 'price': 410.9, 'order_time': '2026-09-10 20:10:42'}
Sent: {'order_id': 1052, 'customer_id': 138, 'product_id': 46, 'quantity': 7, 'price': 466.93, 'order_time': '2026-09-10 20:10:44'}
Sent: {'order_id': 1053, 'customer_id': 150, 'product_id': 7, 'quantity': 6, 'price': 71.12, 'order_time': '2026-09-10 20:10:45'}
Sent: {'order_id': 1054, 'customer_id': 463, 'product_id': 14, 'quantity': 8, 'price': 62.51, 'order_time': '2026-09-10 20:10:47'}
Sent: {'order_id': 1055, 'customer_id': 107, 'product_id': 46, 'quantity': 5, 'price': 109.77, 'order_time': '2026-09-10 20:10:48'}
Sent: {'order_id': 1056, 'customer_id': 130, 'product_id': 1, 'quantity': 3, 'price': 499.51, 'order_time': '2026-09-10 20:10:50'}
Sent: {'order_id': 1057, 'customer_id': 152, 'product_id': 45, 'quantity': 8, 'price': 384.99, 'order_time': '2026-09-10 20:10:52'}
Sent: {'order_id': 1058, 'customer_id': 435, 'product_id': 1, 'quantity': 2, 'price': 435.76, 'order_time': '2026-09-10 20:10:53'}
Sent: {'order_id': 1059, 'customer_id': 310, 'product_id': 3, 'quantity': 1, 'price': 317.84, 'order_time': '2026-09-10 20:10:55'}
Sent: {'order_id': 1060, 'customer_id': 102, 'product_id': 11, 'quantity': 8, 'price': 269.49, 'order_time': '2026-09-10 20:10:57'}
Sent: {'order_id': 1061, 'customer_id': 363, 'product_id': 24, 'quantity': 9, 'price': 449.72, 'order_time': '2026-09-10 20:10:58'}
Sent: {'order_id': 1062, 'customer_id': 471, 'product_id': 44, 'quantity': 5, 'price': 104.48, 'order_time': '2026-09-10 20:11:00'}
Sent: {'order_id': 1063, 'customer_id': 151, 'product_id': 37, 'quantity': 10, 'price': 59.82, 'order_time': '2026-09-10 20:11:01'}
Sent: {'order_id': 1064, 'customer_id': 497, 'product_id': 9, 'quantity': 5, 'price': 245.31, 'order_time': '2026-09-10 20:11:03'}
Sent: {'order_id': 1065, 'customer_id': 292, 'product_id': 17, 'quantity': 5, 'price': 121.83, 'order_time': '2026-09-10 20:11:04'}
Sent: {'order_id': 1066, 'customer_id': 385, 'product_id': 46, 'quantity': 3, 'price': 36.33, 'order_time': '2026-09-10 20:11:06'}
Sent: {'order_id': 1067, 'customer_id': 368, 'product_id': 42, 'quantity': 6, 'price': 345.33, 'order_time': '2026-09-10 20:11:08'}
Sent: {'order_id': 1068, 'customer_id': 143, 'product_id': 9, 'quantity': 3, 'price': 102.76, 'order_time': '2026-09-10 20:11:09'}
Sent: {'order_id': 1069, 'customer_id': 107, 'product_id': 20, 'quantity': 7, 'price': 222.26, 'order_time': '2026-09-10 20:11:11'}
Sent: {'order_id': 1070, 'customer_id': 331, 'product_id': 3, 'quantity': 3, 'price': 24.78, 'order_time': '2026-09-10 20:11:12'}
Sent: {'order_id': 1071, 'customer_id': 403, 'product_id': 17, 'quantity': 9, 'price': 37.82, 'order_time': '2026-09-10 20:11:14'}
Sent: {'order_id': 1072, 'customer_id': 235, 'product_id': 13, 'quantity': 10, 'price': 254.64, 'order_time': '2026-09-10 20:11:15'}
Sent: {'order_id': 1073, 'customer_id': 226, 'product_id': 41, 'quantity': 10, 'price': 124.53, 'order_time': '2026-09-10 20:11:17'}
Sent: {'order_id': 1074, 'customer_id': 219, 'product_id': 38, 'quantity': 10, 'price': 148.07, 'order_time': '2026-09-10 20:11:18'}
Sent: {'order_id': 1075, 'customer_id': 408, 'product_id': 10, 'quantity': 10, 'price': 393.29, 'order_time': '2026-09-10 20:11:20'}
Sent: {'order_id': 1076, 'customer_id': 212, 'product_id': 10, 'quantity': 5, 'price': 181.9, 'order_time': '2026-09-10 20:11:21'}
Sent: {'order_id': 1077, 'customer_id': 454, 'product_id': 44, 'quantity': 3, 'price': 63.31, 'order_time': '2026-09-10 20:11:23'}
Sent: {'order_id': 1078, 'customer_id': 104, 'product_id': 32, 'quantity': 2, 'price': 150.41, 'order_time': '2026-09-10 20:11:24'}
Sent: {'order_id': 1079, 'customer_id': 231, 'product_id': 38, 'quantity': 10, 'price': 124.2, 'order_time': '2026-09-10 20:11:26'}
Sent: {'order_id': 1080, 'customer_id': 441, 'product_id': 20, 'quantity': 4, 'price': 390.72, 'order_time': '2026-09-10 20:11:27'}
Sent: {'order_id': 1081, 'customer_id': 148, 'product_id': 1, 'quantity': 6, 'price': 177.66, 'order_time': '2026-09-10 20:11:28'}
Sent: {'order_id': 1082, 'customer_id': 121, 'product_id': 43, 'quantity': 1, 'price': 36.36, 'order_time': '2026-09-10 20:11:30'}
Sent: {'order_id': 1083, 'customer_id': 308, 'product_id': 16, 'quantity': 8, 'price': 244.78, 'order_time': '2026-09-10 20:11:32'}
Sent: {'order_id': 1084, 'customer_id': 201, 'product_id': 11, 'quantity': 9, 'price': 269.01, 'order_time': '2026-09-10 20:11:33'}
Sent: {'order_id': 1085, 'customer_id': 343, 'product_id': 15, 'quantity': 2, 'price': 227.37, 'order_time': '2026-09-10 20:11:34'}
Sent: {'order_id': 1086, 'customer_id': 389, 'product_id': 49, 'quantity': 2, 'price': 77.81, 'order_time': '2026-09-10 20:11:36'}
Sent: {'order_id': 1087, 'customer_id': 240, 'product_id': 14, 'quantity': 9, 'price': 250.9, 'order_time': '2026-09-10 20:11:38'}
Sent: {'order_id': 1088, 'customer_id': 155, 'product_id': 9, 'quantity': 4, 'price': 444.21, 'order_time': '2026-09-10 20:11:39'}
Sent: {'order_id': 1089, 'customer_id': 370, 'product_id': 50, 'quantity': 10, 'price': 241.19, 'order_time': '2026-09-10 20:11:41'}
Sent: {'order_id': 1090, 'customer_id': 426, 'product_id': 42, 'quantity': 4, 'price': 194.12, 'order_time': '2026-09-10 20:11:43'}
Sent: {'order_id': 1091, 'customer_id': 182, 'product_id': 42, 'quantity': 3, 'price': 212.85, 'order_time': '2026-09-10 20:11:44'}
Sent: {'order_id': 1092, 'customer_id': 479, 'product_id': 40, 'quantity': 1, 'price': 391.1, 'order_time': '2026-09-10 20:11:46'}
Sent: {'order_id': 1093, 'customer_id': 373, 'product_id': 38, 'quantity': 6, 'price': 376.14, 'order_time': '2026-09-10 20:11:47'}
Sent: {'order_id': 1094, 'customer_id': 158, 'product_id': 10, 'quantity': 2, 'price': 275.73, 'order_time': '2026-09-10 20:11:49'}
Sent: {'order_id': 1095, 'customer_id': 106, 'product_id': 23, 'quantity': 6, 'price': 80.18, 'order_time': '2026-09-10 20:11:51'}
Sent: {'order_id': 1096, 'customer_id': 454, 'product_id': 48, 'quantity': 2, 'price': 214.23, 'order_time': '2026-09-10 20:11:52'}
Sent: {'order_id': 1097, 'customer_id': 426, 'product_id': 19, 'quantity': 10, 'price': 68.56, 'order_time': '2026-09-10 20:11:54'}
Sent: {'order_id': 1098, 'customer_id': 453, 'product_id': 33, 'quantity': 1, 'price': 449.05, 'order_time': '2026-09-10 20:11:56'}
Sent: {'order_id': 1099, 'customer_id': 310, 'product_id': 11, 'quantity': 4, 'price': 134.0, 'order_time': '2026-09-10 20:11:57'}
Sent: {'order_id': 1100, 'customer_id': 302, 'product_id': 36, 'quantity': 4, 'price': 189.37, 'order_time': '2026-09-10 20:11:58'}
Sent: {'order_id': 1101, 'customer_id': 360, 'product_id': 42, 'quantity': 8, 'price': 272.99, 'order_time': '2026-09-10 20:12:00'}
Sent: {'order_id': 1102, 'customer_id': 452, 'product_id': 7, 'quantity': 7, 'price': 131.02, 'order_time': '2026-09-10 20:12:02'}
Sent: {'order_id': 1103, 'customer_id': 403, 'product_id': 38, 'quantity': 6, 'price': 97.94, 'order_time': '2026-09-10 20:12:03'}
Sent: {'order_id': 1104, 'customer_id': 147, 'product_id': 1, 'quantity': 3, 'price': 81.09, 'order_time': '2026-09-10 20:12:04'}
Sent: {'order_id': 1105, 'customer_id': 341, 'product_id': 6, 'quantity': 10, 'price': 428.85, 'order_time': '2026-09-10 20:12:06'}
Sent: {'order_id': 1106, 'customer_id': 174, 'product_id': 4, 'quantity': 10, 'price': 119.85, 'order_time': '2026-09-10 20:12:07'}
Sent: {'order_id': 1107, 'customer_id': 202, 'product_id': 38, 'quantity': 10, 'price': 389.92, 'order_time': '2026-09-10 20:12:09'}
Sent: {'order_id': 1108, 'customer_id': 387, 'product_id': 28, 'quantity': 1, 'price': 22.75, 'order_time': '2026-09-10 20:12:10'}
Sent: {'order_id': 1109, 'customer_id': 355, 'product_id': 49, 'quantity': 5, 'price': 407.33, 'order_time': '2026-09-10 20:12:12'}
Sent: {'order_id': 1110, 'customer_id': 291, 'product_id': 17, 'quantity': 1, 'price': 136.27, 'order_time': '2026-09-10 20:12:13'}
Sent: {'order_id': 1111, 'customer_id': 244, 'product_id': 41, 'quantity': 3, 'price': 331.65, 'order_time': '2026-09-10 20:12:15'}
Sent: {'order_id': 1112, 'customer_id': 335, 'product_id': 17, 'quantity': 6, 'price': 174.41, 'order_time': '2026-09-10 20:12:16'}
Sent: {'order_id': 1113, 'customer_id': 152, 'product_id': 25, 'quantity': 3, 'price': 427.15, 'order_time': '2026-09-10 20:12:18'}
Sent: {'order_id': 1114, 'customer_id': 393, 'product_id': 1, 'quantity': 6, 'price': 392.92, 'order_time': '2026-09-10 20:12:20'}
Sent: {'order_id': 1115, 'customer_id': 151, 'product_id': 19, 'quantity': 3, 'price': 181.18, 'order_time': '2026-09-10 20:12:21'}
Sent: {'order_id': 1116, 'customer_id': 406, 'product_id': 5, 'quantity': 6, 'price': 166.76, 'order_time': '2026-09-10 20:12:22'}
Sent: {'order_id': 1117, 'customer_id': 390, 'product_id': 4, 'quantity': 8, 'price': 234.89, 'order_time': '2026-09-10 20:12:24'}
Sent: {'order_id': 1118, 'customer_id': 160, 'product_id': 14, 'quantity': 7, 'price': 112.03, 'order_time': '2026-09-10 20:12:25'}
Sent: {'order_id': 1119, 'customer_id': 304, 'product_id': 21, 'quantity': 1, 'price': 311.52, 'order_time': '2026-09-10 20:12:27'}
Sent: {'order_id': 1120, 'customer_id': 192, 'product_id': 39, 'quantity': 1, 'price': 36.98, 'order_time': '2026-09-10 20:12:28'}
Sent: {'order_id': 1121, 'customer_id': 268, 'product_id': 30, 'quantity': 4, 'price': 99.4, 'order_time': '2026-09-10 20:12:29'}
Sent: {'order_id': 1122, 'customer_id': 354, 'product_id': 13, 'quantity': 4, 'price': 205.26, 'order_time': '2026-09-10 20:12:30'}
Sent: {'order_id': 1123, 'customer_id': 198, 'product_id': 27, 'quantity': 5, 'price': 403.23, 'order_time': '2026-09-10 20:12:32'}
Sent: {'order_id': 1124, 'customer_id': 450, 'product_id': 14, 'quantity': 7, 'price': 237.99, 'order_time': '2026-09-10 20:12:34'}
Sent: {'order_id': 1125, 'customer_id': 401, 'product_id': 44, 'quantity': 7, 'price': 481.03, 'order_time': '2026-09-10 20:12:35'}
Sent: {'order_id': 1126, 'customer_id': 495, 'product_id': 3, 'quantity': 8, 'price': 80.6, 'order_time': '2026-09-10 20:12:37'}
Sent: {'order_id': 1127, 'customer_id': 184, 'product_id': 44, 'quantity': 1, 'price': 245.97, 'order_time': '2026-09-10 20:12:39'}
Sent: {'order_id': 1128, 'customer_id': 144, 'product_id': 37, 'quantity': 6, 'price': 183.73, 'order_time': '2026-09-10 20:12:41'}
Sent: {'order_id': 1129, 'customer_id': 109, 'product_id': 18, 'quantity': 4, 'price': 26.23, 'order_time': '2026-09-10 20:12:42'}
Sent: {'order_id': 1130, 'customer_id': 319, 'product_id': 48, 'quantity': 3, 'price': 202.56, 'order_time': '2026-09-10 20:12:44'}
Sent: {'order_id': 1131, 'customer_id': 344, 'product_id': 32, 'quantity': 2, 'price': 195.53, 'order_time': '2026-09-10 20:12:45'}
Sent: {'order_id': 1132, 'customer_id': 175, 'product_id': 39, 'quantity': 2, 'price': 121.73, 'order_time': '2026-09-10 20:12:47'}
Sent: {'order_id': 1133, 'customer_id': 434, 'product_id': 48, 'quantity': 4, 'price': 434.46, 'order_time': '2026-09-10 20:12:49'}
Sent: {'order_id': 1134, 'customer_id': 276, 'product_id': 15, 'quantity': 7, 'price': 476.45, 'order_time': '2026-09-10 20:12:50'}
Sent: {'order_id': 1135, 'customer_id': 416, 'product_id': 22, 'quantity': 4, 'price': 417.0, 'order_time': '2026-09-10 20:12:52'}
Sent: {'order_id': 1136, 'customer_id': 146, 'product_id': 30, 'quantity': 1, 'price': 379.25, 'order_time': '2026-09-10 20:12:54'}
Sent: {'order_id': 1137, 'customer_id': 107, 'product_id': 21, 'quantity': 2, 'price': 440.27, 'order_time': '2026-09-10 20:12:55'}
Sent: {'order_id': 1138, 'customer_id': 459, 'product_id': 47, 'quantity': 3, 'price': 427.48, 'order_time': '2026-09-10 20:12:57'}
Sent: {'order_id': 1139, 'customer_id': 419, 'product_id': 42, 'quantity': 5, 'price': 480.64, 'order_time': '2026-09-10 20:12:58'}
Sent: {'order_id': 1140, 'customer_id': 342, 'product_id': 6, 'quantity': 6, 'price': 239.76, 'order_time': '2026-09-10 20:13:00'}
Sent: {'order_id': 1141, 'customer_id': 225, 'product_id': 41, 'quantity': 8, 'price': 124.16, 'order_time': '2026-09-10 20:13:01'}
Sent: {'order_id': 1142, 'customer_id': 285, 'product_id': 14, 'quantity': 5, 'price': 215.38, 'order_time': '2026-09-10 20:13:02'}
Sent: {'order_id': 1143, 'customer_id': 223, 'product_id': 36, 'quantity': 10, 'price': 353.53, 'order_time': '2026-09-10 20:13:04'}
Sent: {'order_id': 1144, 'customer_id': 489, 'product_id': 16, 'quantity': 4, 'price': 288.45, 'order_time': '2026-09-10 20:13:06'}
Sent: {'order_id': 1145, 'customer_id': 181, 'product_id': 38, 'quantity': 9, 'price': 395.54, 'order_time': '2026-09-10 20:13:07'}
Sent: {'order_id': 1146, 'customer_id': 268, 'product_id': 38, 'quantity': 7, 'price': 317.76, 'order_time': '2026-09-10 20:13:09'}
Sent: {'order_id': 1147, 'customer_id': 311, 'product_id': 30, 'quantity': 8, 'price': 175.68, 'order_time': '2026-09-10 20:13:11'}
Sent: {'order_id': 1148, 'customer_id': 487, 'product_id': 2, 'quantity': 7, 'price': 395.49, 'order_time': '2026-09-10 20:13:12'}
Sent: {'order_id': 1149, 'customer_id': 323, 'product_id': 16, 'quantity': 6, 'price': 401.38, 'order_time': '2026-09-10 20:13:14'}
Sent: {'order_id': 1150, 'customer_id': 368, 'product_id': 41, 'quantity': 9, 'price': 59.84, 'order_time': '2026-09-10 20:13:15'}
Sent: {'order_id': 1151, 'customer_id': 494, 'product_id': 38, 'quantity': 10, 'price': 194.45, 'order_time': '2026-09-10 20:13:17'}
Sent: {'order_id': 1152, 'customer_id': 364, 'product_id': 46, 'quantity': 2, 'price': 108.3, 'order_time': '2026-09-10 20:13:19'}
Sent: {'order_id': 1153, 'customer_id': 126, 'product_id': 38, 'quantity': 6, 'price': 320.16, 'order_time': '2026-09-10 20:13:20'}
Sent: {'order_id': 1154, 'customer_id': 111, 'product_id': 42, 'quantity': 10, 'price': 435.19, 'order_time': '2026-09-10 20:13:22'}
Sent: {'order_id': 1155, 'customer_id': 447, 'product_id': 50, 'quantity': 8, 'price': 350.47, 'order_time': '2026-09-10 20:13:23'}
Sent: {'order_id': 1156, 'customer_id': 401, 'product_id': 33, 'quantity': 3, 'price': 475.37, 'order_time': '2026-09-10 20:13:25'}
Sent: {'order_id': 1157, 'customer_id': 201, 'product_id': 40, 'quantity': 6, 'price': 240.92, 'order_time': '2026-09-10 20:13:26'}
Sent: {'order_id': 1158, 'customer_id': 415, 'product_id': 26, 'quantity': 10, 'price': 53.7, 'order_time': '2026-09-10 20:13:27'}
Sent: {'order_id': 1159, 'customer_id': 281, 'product_id': 29, 'quantity': 2, 'price': 420.19, 'order_time': '2026-09-10 20:13:28'}
Sent: {'order_id': 1160, 'customer_id': 401, 'product_id': 40, 'quantity': 7, 'price': 276.76, 'order_time': '2026-09-10 20:13:30'}
Sent: {'order_id': 1161, 'customer_id': 218, 'product_id': 24, 'quantity': 9, 'price': 61.0, 'order_time': '2026-09-10 20:13:32'}
Sent: {'order_id': 1162, 'customer_id': 334, 'product_id': 3, 'quantity': 9, 'price': 93.16, 'order_time': '2026-09-10 20:13:34'}
Sent: {'order_id': 1163, 'customer_id': 388, 'product_id': 10, 'quantity': 8, 'price': 144.89, 'order_time': '2026-09-10 20:13:35'}
Sent: {'order_id': 1164, 'customer_id': 136, 'product_id': 38, 'quantity': 2, 'price': 252.46, 'order_time': '2026-09-10 20:13:37'}
Sent: {'order_id': 1165, 'customer_id': 384, 'product_id': 35, 'quantity': 7, 'price': 26.51, 'order_time': '2026-09-10 20:13:38'}
Sent: {'order_id': 1166, 'customer_id': 471, 'product_id': 35, 'quantity': 6, 'price': 17.93, 'order_time': '2026-09-10 20:13:40'}
Sent: {'order_id': 1167, 'customer_id': 181, 'product_id': 34, 'quantity': 4, 'price': 195.73, 'order_time': '2026-09-10 20:13:41'}
Sent: {'order_id': 1168, 'customer_id': 168, 'product_id': 49, 'quantity': 1, 'price': 124.35, 'order_time': '2026-09-10 20:13:42'}
Sent: {'order_id': 1169, 'customer_id': 457, 'product_id': 7, 'quantity': 2, 'price': 94.49, 'order_time': '2026-09-10 20:13:43'}
Sent: {'order_id': 1170, 'customer_id': 291, 'product_id': 24, 'quantity': 7, 'price': 175.34, 'order_time': '2026-09-10 20:13:45'}
Sent: {'order_id': 1171, 'customer_id': 264, 'product_id': 30, 'quantity': 4, 'price': 181.95, 'order_time': '2026-09-10 20:13:47'}
Sent: {'order_id': 1172, 'customer_id': 255, 'product_id': 10, 'quantity': 2, 'price': 12.41, 'order_time': '2026-09-10 20:13:48'}
Sent: {'order_id': 1173, 'customer_id': 410, 'product_id': 30, 'quantity': 2, 'price': 378.12, 'order_time': '2026-09-10 20:13:50'}
Sent: {'order_id': 1174, 'customer_id': 179, 'product_id': 28, 'quantity': 8, 'price': 191.93, 'order_time': '2026-09-10 20:13:52'}
Sent: {'order_id': 1175, 'customer_id': 435, 'product_id': 48, 'quantity': 8, 'price': 375.3, 'order_time': '2026-09-10 20:13:54'}
Sent: {'order_id': 1176, 'customer_id': 278, 'product_id': 19, 'quantity': 4, 'price': 443.36, 'order_time': '2026-09-10 20:13:55'}
Sent: {'order_id': 1177, 'customer_id': 298, 'product_id': 19, 'quantity': 2, 'price': 43.24, 'order_time': '2026-09-10 20:13:57'}
Sent: {'order_id': 1178, 'customer_id': 430, 'product_id': 45, 'quantity': 2, 'price': 425.8, 'order_time': '2026-09-10 20:13:58'}
Sent: {'order_id': 1179, 'customer_id': 345, 'product_id': 46, 'quantity': 2, 'price': 418.74, 'order_time': '2026-09-10 20:13:59'}
Sent: {'order_id': 1180, 'customer_id': 403, 'product_id': 49, 'quantity': 9, 'price': 221.86, 'order_time': '2026-09-10 20:14:00'}
Sent: {'order_id': 1181, 'customer_id': 316, 'product_id': 27, 'quantity': 7, 'price': 19.59, 'order_time': '2026-09-10 20:14:01'}
Sent: {'order_id': 1182, 'customer_id': 188, 'product_id': 30, 'quantity': 5, 'price': 134.3, 'order_time': '2026-09-10 20:14:03'}
Sent: {'order_id': 1183, 'customer_id': 187, 'product_id': 48, 'quantity': 7, 'price': 160.91, 'order_time': '2026-09-10 20:14:04'}
Sent: {'order_id': 1184, 'customer_id': 476, 'product_id': 41, 'quantity': 10, 'price': 148.16, 'order_time': '2026-09-10 20:14:05'}
Sent: {'order_id': 1185, 'customer_id': 125, 'product_id': 14, 'quantity': 9, 'price': 413.33, 'order_time': '2026-09-10 20:14:06'}
Sent: {'order_id': 1186, 'customer_id': 489, 'product_id': 21, 'quantity': 10, 'price': 459.2, 'order_time': '2026-09-10 20:14:08'}
Sent: {'order_id': 1187, 'customer_id': 272, 'product_id': 39, 'quantity': 4, 'price': 35.6, 'order_time': '2026-09-10 20:14:10'}
Sent: {'order_id': 1188, 'customer_id': 372, 'product_id': 16, 'quantity': 5, 'price': 494.12, 'order_time': '2026-09-10 20:14:11'}
Sent: {'order_id': 1189, 'customer_id': 318, 'product_id': 38, 'quantity': 6, 'price': 419.8, 'order_time': '2026-09-10 20:14:12'}
Sent: {'order_id': 1190, 'customer_id': 469, 'product_id': 48, 'quantity': 5, 'price': 385.76, 'order_time': '2026-09-10 20:14:14'}
